dia;mês;concat;Comemoração;Feriado
1;1;11;AnoNovo;FERIADO
2;1;21;0;DEPOIS
14;2;142;0;ANTES
15;2;152;Carnaval;FERIADO
16;2;162;Carnaval;FERIADO
17;2;172;Carnaval;FERIADO
18;2;182;0;DEPOIS
1;4;14;0;ANTES
2;4;24;Sexta-FeiraSanta;FERIADO
3;4;34;0;DEPOIS
20;4;204;0;ANTES
21;4;214;Tiradentes;FERIADO
22;4;224;0;DEPOIS
30;4;304;0;ANTES
1;5;15;DiadoTrabalho;FERIADO
2;5;25;0;DEPOIS
2;6;26;0;ANTES
3;6;36;CorpusChristi;FERIADO
4;6;46;0;DEPOIS
14;8;148;0;ANTES
15;8;158;AssunçãodeNossaSenhora;FERIADO
16;8;168;0;DEPOIS
6;9;69;0;ANTES
7;9;79;IndependênciadoBrasil;FERIADO
8;9;89;0;DEPOIS
11;10;1110;0;ANTES
12;10;1210;NossaSenhoraAparecida;FERIADO
13;10;1310;0;DEPOIS
14;10;1410;0;ANTES
15;10;1510;DiadoProfessor;FERIADO
16;10;1610;0;DEPOIS
27;10;2710;0;ANTES
28;10;2810;DiadoServidorPúblico;FERIADO
29;10;2910;0;DEPOIS
1;11;111;0;ANTES
2;11;211;DiadeFinados;FERIADO
3;11;311;0;DEPOIS
14;11;1411;0;ANTES
15;11;1511;ProclamaçãodaRepública;FERIADO
16;11;1611;0;DEPOIS
7;12;712;0;ANTES
8;12;812;ImaculadaConceição;FERIADO
9;12;912;0;DEPOIS
24;12;2412;0;ANTES
25;12;2512;Natal;FERIADO
26;12;2612;0;DEPOIS
31;12;3112;0;ANTES
